,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
14,2.0,1305.6702603604008,1320.8729607659031,0,1.6,1.2,1.2401226,1.6325578,14.2,13.4,3.4,3.2,0.0,0.2,9.2,11.2,0.6972135711461306,1.3322430865839123,2.5728577433153985,4.894738166034221,1.1633832270279527,2.7915994957089425,1.4817018000000002,148.6,19.6,5.4,1.67524,1.2,1.2401225999999999,259.8,17.0,6.2,1249.1780012551549,1537.9005007291782
15,1.0,1326.544840039008,1503.0152096268775,1,1.4,0.6,1.1164586,1.2239524,12.2,13.4,2.8,3.2,0.0,0.2,7.4,11.0,0.6246695695444942,1.1384542560204864,1.7975984720513225,4.371613091230392,0.6926489772275091,2.6889194950461386,1.2239524000000002,139.8,19.4,5.6,1.4169399999999999,0.6,1.1164586,273.6,19.4,4.8,1271.8381061199243,1518.7636112022535
16,2.0,1355.9113395082486,1640.2537048562008,0,1.4,1.0,1.0116766,1.3553524,11.4,16.8,2.8,3.0,0.0,0.0,7.2,12.4,0.6189573591575026,1.1579228140413762,1.8277484523132443,4.752198853343725,0.8833465764299036,2.95094363540411,1.3553524000000003,155.0,19.0,6.8,1.58116,0.8,1.0116766,281.0,20.6,4.8,1301.1560681143603,1543.5679718538806
17,1.0,1369.395335184617,1385.5238058405982,1,1.6,0.6,0.939188,1.4108504,10.6,18.4,3.2,2.8,0.0,0.0,6.8,13.2,0.5621124006807804,1.1888199193403124,1.925382704474032,4.15289812553674,0.9420618383213878,2.3303921200335025,1.4108504000000004,147.4,18.8,7.2,1.67456,0.2,0.939188,293.6,22.8,4.4,1322.9222404980674,1471.6574641867999
18,3.0,1390.323098254401,1516.9494494977698,1,1.8,1.0,1.119792,1.4507602,11.2,17.4,2.6,2.6,0.0,0.0,8.6,12.2,0.7681614466011524,1.2300518797710538,2.6411723045632245,4.219350981153548,1.4256252648308874,2.385817515850067,1.4507602000000002,173.8,19.4,7.6,1.6122799999999997,0.2,0.968938,275.6,24.0,5.0,1349.5689746693351,1473.32302611747
19,1.0,1205.624280569423,1682.1675326065151,0,1.6,1.2,1.0502572,1.3196702,11.2,16.0,2.4,2.0,0.0,0.0,8.4,11.4,0.702524964697659,1.0249132530763745,2.499242879450321,3.414337935857475,1.3852336104959249,1.8445743832737207,1.3196702000000002,188.6,20.6,8.2,1.59222,0.8,0.8994031999999998,300.6,26.0,5.4,1329.5597787111396,1545.5819404855924
20,1.0,1203.2054148805767,1642.8063167760347,0,1.6,1.6,0.9958558,1.4704656,10.6,17.4,2.6,2.0,0.0,0.0,8.2,12.6,0.6710347674787045,1.168712609540671,2.5844841375947,4.33958141785115,1.3480273339897395,2.54978260435164,1.4704656000000003,214.2,23.0,7.4,1.7863,1.4,0.8450018,274.8,24.4,5.4,1304.8918936794532,1573.5401619154236
21,2.0,1200.2556417401054,1545.7990116578185,1,1.6,1.2,1.0800738,1.2083072,10.4,15.8,2.6,2.6,0.0,0.0,7.6,11.4,0.7032217793166637,0.9499553768895567,2.0820446368306875,3.011626967601478,0.9719462927430869,1.7520954959094523,1.2083072000000001,200.2,22.8,6.8,1.53072,1.2,0.9292198,266.2,25.6,5.0,1273.7607541258244,1554.649223275747
22,0.0,1253.0345629407932,1570.7764485255877,1,1.4,1.4,1.1312866,1.0724572,11.6,13.8,2.8,2.6,0.0,0.0,8.6,10.2,0.7530129451304675,0.8334803235717118,2.195585696026683,2.918639884144068,1.0460424233227967,1.7728533957153558,1.0724572,210.4,24.4,6.2,1.3877599999999999,1.8,0.9804326,242.4,25.4,6.2,1250.4885996770597,1591.6997518127453
23,2.0,1247.500595715747,1460.039005700885,0,1.2,1.4,0.8908846,1.2694396000000001,9.4,16.2,2.6,2.4,0.2,0.0,7.0,10.8,0.6972157742828131,0.8679110986180604,1.5407165955752133,3.658615331351757,0.5869358442723751,2.2515501307323573,1.2694396000000001,198.4,24.0,6.2,1.69606,2.0,0.8908846,267.4,23.8,5.4,1221.924099169329,1580.3176630533683
