,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
14,4.0,1558.072786123354,1362.322059943406,0,2.0,0.6,1.724532,1.2557578,13.8,11.6,2.4,2.4,0.0,0.2,10.8,9.6,1.3047969596460463,0.9989346005022526,3.994144865125418,3.8753149578347803,1.9198797732591628,2.2096671629697084,1.2557578,257.0,21.8,4.0,1.0714000000000001,0.8,1.724532,202.2,26.4,6.0,1526.648619893384,1518.5811646047123
15,1.0,1575.2050244753948,1467.5782688521163,1,2.2,0.6,1.9289888000000002,1.0442178,14.6,9.6,2.4,2.6,0.0,0.2,11.4,7.4,1.4860792081803083,0.8069950085133314,4.095132286101579,2.9084537429735065,2.0122095119208097,1.6457288727164268,1.0442178,259.6,22.6,3.6,0.7738799999999999,0.4,1.9289888000000002,203.8,29.2,7.0,1539.122512380064,1496.066658544712
16,0.0,1569.2003820166294,1330.2195203255524,0,1.8,0.6,1.9243848,1.0173458,15.2,8.8,1.8,3.4,0.4,0.2,11.4,6.6,1.4034667076542973,0.7808681081980466,4.461397716403008,2.295766088925302,2.44886890091002,1.237523403018713,1.0173458,262.4,21.6,3.8,0.7579800000000001,1.0,1.7721247999999998,203.8,28.2,8.6,1553.6300350507881,1468.7464089702305
17,4.0,1537.2685017985,1539.209064157631,1,1.8,1.2,1.9252707999999998,0.8921398,16.2,7.4,2.2,3.4,0.4,0.2,12.2,5.2,1.299195014871657,0.5587791923433543,4.375362003594637,1.2068535780534149,2.6648361276835204,0.34992907717823984,0.7398798,256.2,20.4,3.2,0.6621,1.0,1.7730108000000002,193.0,27.8,8.4,1558.0939080018302,1476.799457297482
18,2.0,1557.3802083858864,1445.0364036312972,0,2.2,1.4,2.254288,1.1226294,18.6,8.8,2.0,3.2,0.4,0.2,14.6,6.2,1.6246111711487174,0.6571873363107443,5.345761228352785,1.6710341611877084,3.410437208041549,0.464851089194417,0.9703694,258.0,22.4,3.6,0.60648,0.8,2.102028,175.6,25.6,10.8,1559.425380559953,1428.8730633820007
19,1.0,1571.1295247750124,1647.5203927604102,1,1.6,1.4,2.073998,1.343642,19.0,10.8,2.2,3.2,0.4,0.0,15.4,7.8,1.56547712367028,0.8686692342162132,5.59226626381278,2.2849969904869796,3.582313634455204,0.742528372630477,1.1913820000000002,225.4,23.4,4.0,0.8787200000000001,1.0,1.921738,192.4,26.2,10.8,1562.0367282902846,1485.9127299454015
20,1.0,1575.457419115183,1496.4511075136331,0,1.6,1.4,1.8947436,1.5453320000000001,17.2,11.8,1.8,2.6,0.4,0.2,13.6,8.6,1.3896934432908892,1.0470020852982997,5.434771846234798,3.071787506341934,3.508380080759525,1.2991551298648119,1.393072,215.0,27.6,4.4,1.1586200000000002,1.0,1.7424836,190.6,27.2,9.6,1562.0872072182424,1491.6872976777047
21,3.0,1570.9862539159114,1460.013767570168,1,2.2,1.6,1.7465276000000003,1.648798,17.4,13.0,1.8,1.6,0.0,0.2,14.2,9.6,1.3286700323224068,1.1480417668819427,4.525515831261873,4.150004840269685,2.54122711494565,2.1747739143669604,1.496538,221.2,30.2,4.2,1.29938,0.4,1.7465276000000003,190.8,28.2,9.0,1562.4443815980987,1517.646147126628
22,3.0,1584.8068867257066,1520.9888066253695,0,2.0,1.2,1.5396936,1.469924,16.0,14.6,1.4,1.8,0.0,0.2,12.8,10.8,1.1989830553531646,1.144819900020957,3.8115229584276675,4.223467956483364,2.0809886872768404,2.3085738591849805,1.469924,231.2,31.6,4.6,1.3025,0.4,1.5396936,188.8,30.8,7.8,1571.9520585835398,1514.0020956201756
23,1.0,1609.3575394367226,1557.3805186916034,1,1.8,1.2,1.5380876,1.4469480000000001,16.4,13.4,1.4,2.2,0.0,0.2,11.2,9.6,0.9304160460829735,1.1062232570722699,3.2114309940487145,4.462984351255,1.5125880520790815,2.5594374358654024,1.446948,241.2,28.0,3.8,1.29258,0.6,1.3797236000000002,200.2,33.8,7.6,1582.3475247937072,1536.4709186322368
