,elo_h,goals_last5_h,xG_last5_h,shots_last5_h,yellow_card_last5_h,red_card_last5_h,key_passes_last5_h,xA_last5_h,xGChain_last5_h,xGBuildup_last5_h,npxG_last5_h,ppda_att_last5_h,ppda_def_last5_h,deep_last5_h,xpts_last5_h,pts_last5_h,elo_last5_h,elo_a,goals_last5_a,xG_last5_a,shots_last5_a,yellow_card_last5_a,red_card_last5_a,key_passes_last5_a,xA_last5_a,xGChain_last5_a,xGBuildup_last5_a,npxG_last5_a,ppda_att_last5_a,ppda_def_last5_a,deep_last5_a,xpts_last5_a,pts_last5_a,elo_last5_a,goals
9874,1422.176632120517,1.0,1.4332746,14.6,2.2,0.4,10.0,0.8065731091424823,3.1402093203738333,1.4904367085546255,1.1287566,191.2,20.6,7.8,1.2323799999999998,0.4,1473.1579621198766,1772.727090777775,1.0,0.9460838,13.2,2.0,0.2,10.8,0.8593777306377888,3.731721605360508,2.3456123415380716,0.9460838,218.6,21.0,8.2,1.06474,1.2,1826.2795979937887,2.0
9875,1392.838416884087,1.2,1.1563334,13.6,2.2,0.0,9.2,0.6985447464510799,2.361947912722826,1.3046914096921682,0.8518131999999999,279.4,24.2,3.4,1.7679199999999997,1.4,1385.944035278728,1737.3041671370909,2.0,2.07065,18.2,2.0,0.2,12.0,1.4134448874741792,6.610386625304818,4.465681808441877,1.918392,215.4,26.4,8.8,1.5901,2.0,1760.4198652296777,-1.0
9876,1703.9628070059675,2.0,1.9977262000000002,16.8,2.4,0.0,12.4,1.1623075734823942,4.2148990269750355,2.46653317771852,1.5409714,300.6,24.0,4.8,1.7072600000000002,1.0,1741.670282250816,1461.2267972934762,2.0,1.2272452,15.2,2.4,0.0,11.4,0.9481873944401741,3.6356692999601363,2.219551143050194,1.2272452,281.0,23.2,7.0,1.6763,1.8,1442.8486837320338,2.0
9877,1625.5427925618203,1.2,2.0309062,20.2,2.2,0.0,14.6,1.139038270711899,3.7448845233768226,1.9654646214097737,1.7263862000000003,248.0,26.6,5.2,1.70328,1.2,1709.317245978432,1423.9767726172556,1.2,1.6215962000000002,17.4,2.2,0.4,13.8,0.9465501446276903,3.09015340693295,1.8712566770613193,1.2998942000000002,292.0,22.2,6.8,1.1656599999999997,0.8,1461.0495185990126,3.0
9878,1481.9529023480775,1.4,1.1390921999999999,9.4,2.6,0.0,6.4,0.5027844496071339,1.7048307050019502,0.9022912230342627,0.8345735999999999,286.0,22.2,5.4,0.7537799999999997,1.8,1456.3554963774936,1664.6467578330876,2.4,2.5653233999999996,17.8,2.8,0.0,15.0,2.341816564463079,10.304334658570587,6.739442254416645,2.5653233999999996,261.6,24.0,9.6,2.1448,2.4,1639.9833077136664,-2.0
9879,1261.3424014185512,1.4,0.829429,9.2,2.2,0.2,7.4,0.6458622900769114,3.0418552622199058,1.7188659962266684,0.829429,311.2,24.2,3.0,0.4975199999999999,1.0,1229.98043799453,1614.1877254324484,1.6,1.77096,14.4,1.4,0.4,11.2,1.293327477015555,4.824278968945146,2.9418512687087057,1.6186999999999998,227.0,25.4,7.2,1.5792000000000002,1.2,1639.3238219156005,-3.0
9880,1673.6846296194585,1.6,1.9095670000000002,15.4,2.4,0.0,11.8,1.4207640931010246,5.54007008112967,3.3143042784184216,1.9095670000000002,210.4,21.0,7.2,2.0521599999999998,2.0,1682.9946749065698,1344.8892125141995,1.2,1.2316673999999999,12.2,2.6,0.2,8.6,0.9677950344979763,3.074303612112999,1.6612894099205733,1.2316674,228.6,31.4,5.8,1.41008,1.4,1332.458532669072,3.0
9881,1525.046457682814,1.0,0.7486146,10.6,3.2,0.2,7.8,0.35866192504763605,1.6819907620549202,1.0192969415336848,0.5963546,236.4,29.8,5.2,1.2548199999999998,1.4,1542.4141814315515,1660.3919575899217,1.4,2.0221534,20.2,2.8,0.0,17.0,1.4652977218851446,6.923329352959991,4.728474969416856,1.7176354,207.2,22.0,9.0,2.29686,1.6,1655.544344718062,1.0
9882,1812.0246532674785,1.4,1.221742,13.2,2.0,0.0,10.2,0.7721562780439853,2.2801524186506867,1.4075910091400146,1.069482,238.4,25.8,6.4,2.11456,2.6,1798.125391881523,1562.0288918918718,2.0,1.5230354000000002,15.2,1.8,0.4,11.8,1.1474086752161383,3.7291010547429324,2.259449892863631,1.3707764,211.8,33.8,9.0,1.5242799999999999,2.2,1482.6717558840894,1.0
9883,1843.6818404933026,2.2,1.4474176,18.2,2.8,0.2,14.8,0.8844344984740019,3.204036130011082,1.9962619174271823,1.1428988,227.2,27.0,7.6,1.9793000000000003,2.4,1842.1972458878354,1600.0755990511361,1.6,1.0706079999999998,14.2,2.2,0.0,9.6,0.7092699177563191,2.730813980475068,1.4670728504657746,0.9183490000000001,236.2,25.4,6.6,1.46864,3.0,1560.203675246445,2.0
9884,1479.671538679192,2.0,1.0628734,12.0,2.6,0.2,9.2,0.7209641948342324,2.524965803697705,1.4406396381556987,0.9106142000000002,254.8,23.8,4.6,0.7154799999999998,1.4,1465.3305013178403,1808.2417062011752,2.0,1.7710664,11.0,2.2,0.0,8.2,1.3429006181657315,5.72212648242712,3.7332914851605894,1.6188084,262.0,27.8,7.6,2.3990799999999997,2.4,1806.3199836129236,-2.0
9885,1446.4949411423702,2.0,1.5939742000000001,16.6,1.0,0.0,10.8,0.9505644209682942,3.9213789839297535,2.3200017848983405,1.2894542000000002,193.0,24.4,8.2,1.64026,0.8,1498.6354990016061,1808.499294742223,3.0,1.734478,16.8,1.6,0.0,13.0,1.3146198991686107,5.7863426245749,3.668136642873287,1.582218,204.0,19.2,8.6,2.0193999999999996,3.0,1792.3923831413763,-2.0
9886,1845.0926911673037,1.6,1.56247,17.4,1.4,0.0,13.0,1.2326218035072087,5.53868928514421,3.5559922471642493,1.56247,187.8,20.6,7.8,2.2647399999999998,3.0,1832.6257675722632,1392.9224819747924,0.6,1.0624704,12.4,1.6,0.2,10.0,0.9706488858908415,3.092044272273779,1.5155459236353637,1.0624704,264.0,23.8,3.8,1.11904,1.0,1407.5920132142444,7.0
