,goals,elo,elo_vs,location,goals_las5,goals_vs_las5,xG_las5,xG_vs_las5,shots_las5,shots_vs_las5,yellow_card_las5,yellow_card_vs_las5,red_card_las5,red_card_vs_las5,key_passes_las5,key_passes_vs_las5,xA_las5,xA_vs_las5,xGChain_las5,xGChain_vs_las5,xGBuildup_las5,xGBuildup_vs_las5,npxG_vs_las5,ppda_att_vs_las5,ppda_def_vs_las5,deep_vs_las5,xpts_vs_las5,pts_vs_las5,npxG_las5,ppda_att_las5,ppda_def_las5,deep_las5,elo_las5,elo_vs_las5
14,1.0,1518.4909343415304,1440.3023176666397,1,1.2,1.6,1.160005,1.5163162,11.6,12.2,0.8,1.8,0.2,0.2,9.2,9.0,1.0174524875357747,0.9190249741077423,3.692496200278401,4.139104721695185,2.2559983719140293,2.658222538605332,1.0602589999999998,211.0,27.8,5.6,1.49842,1.2,1.160005,272.0,23.2,4.0,1527.2637073271108,1512.0477924271104
15,0.0,1534.0645104103344,1418.704551206263,0,1.2,1.0,1.177305,1.3633682,12.6,12.2,1.2,2.0,0.0,0.0,9.8,8.4,1.0244220677763223,0.840241239592433,3.720589228160679,3.4872819412499667,2.2145086916163566,2.0275738019496203,1.059329,219.8,27.2,4.2,1.4043800000000002,0.8,1.177305,204.4,23.8,4.8,1526.2848092717372,1477.0946940958383
16,3.0,1527.6575899734853,1445.0553055964044,1,1.4,1.2,1.3977089999999999,1.4674908,14.6,13.2,1.2,1.4,0.0,0.0,11.8,8.6,1.176545910909772,0.7970011316239833,4.740644307620824,3.237436229363084,2.7247523011639716,1.872364815697074,1.1634516,238.2,25.4,3.6,1.37242,0.8,1.3977089999999999,191.6,25.4,4.8,1529.9351832439577,1472.140204283766
17,1.0,1542.9902304576676,1496.2751909182716,0,1.2,1.4,1.300485,1.2919576,14.4,13.0,0.8,1.2,0.0,0.0,11.8,8.8,1.1553440431132913,0.7907970901578665,3.7201995017006992,3.2148300386965274,1.8725200032815337,1.8969757914543153,1.139938,246.6,23.2,3.4,1.2954599999999998,1.4,1.300485,201.4,26.0,4.4,1533.105782703494,1483.0191594690525
18,0.0,1520.3171855402109,1640.9756388996773,1,1.0,1.8,1.3570108,1.3233476,14.2,11.4,0.8,1.4,0.2,0.0,11.0,7.0,1.1792547030374407,0.7193785227835179,4.026443613506854,2.7481371857225896,2.302084211073816,1.2163187704980374,1.1713280000000001,269.6,23.8,2.6,1.2911,1.4,1.3570108,212.8,24.8,4.0,1528.7040901446458,1488.2626008574512
19,0.0,1493.6757344104053,1587.1164643365514,0,0.8,1.8,1.2555748,1.4537932,13.4,12.8,1.0,1.4,0.2,0.0,10.0,8.6,1.067898261360824,0.8462874302640557,3.4820416012778876,2.818259396776557,1.9288773534819483,1.2372129764407873,1.3017736000000002,265.8,27.6,3.2,1.49084,1.6,1.2555748,213.2,23.8,3.8,1523.7410501584206,1517.6254301914337
20,1.0,1498.928574193909,1469.3552937554452,1,1.0,2.2,1.3871980000000002,1.3422194,12.4,12.6,1.0,1.8,0.2,0.0,8.8,9.0,1.0320893984287978,0.9668096536770463,3.4354793928563594,3.436111530661583,1.9057239651679994,1.6812175046652555,1.3422194,251.0,25.6,4.0,1.2476600000000002,2.0,1.2351784000000001,235.4,23.6,4.0,1516.7138629151355,1527.75557870127
21,0.0,1477.2302987955793,1480.285717862458,0,0.4,1.8,1.0337232,1.3186474000000001,10.4,11.8,1.4,1.8,0.2,0.2,7.2,8.6,0.7462348189204931,0.9667247517034412,2.3325882397592066,3.1577165871858597,1.4427064798772335,1.578415874019265,1.3186474000000001,231.4,25.8,3.4,1.4704799999999998,2.2,0.8817036,235.2,21.4,4.2,1506.6284046795543,1534.8016611544808
22,1.0,1477.4061783214515,1495.6013205907595,1,0.4,1.6,0.9805914,1.4290026,11.0,12.4,1.6,2.4,0.4,0.2,8.0,9.2,0.6809975046664476,1.0633832519873976,2.4088638082146643,3.4152157586067915,1.5027539759874344,1.7008926946669818,1.4290026,245.2,24.2,3.6,1.62258,1.8,0.8285718,217.6,19.8,4.2,1493.5115942523112,1534.6668870889785
23,1.0,1478.4526184249787,1405.2704956700516,0,0.6,0.6,0.76939,0.8682214,9.6,10.4,2.0,2.4,0.2,0.2,7.4,8.4,0.5052564971148967,0.6690559701994061,1.6658515498042106,1.8263020537793637,0.9144901122897864,1.0528470251709223,0.8682214000000001,243.2,27.4,3.6,1.39136,1.2,0.6173704,205.8,20.8,4.0,1485.138680829265,1487.5258584430533
